country,year,entity,tag_key,frequency,proportion,rank,in_top5pct
MM,2021,highway,amenity,177414,0.177414,4,False
MM,2021,highway,shop,81090,0.08109,5,False
MM,2021,highway,height,131113,0.131113,6,False
MM,2022,building,building,790257,0.790257,1,True
MM,2022,building,addr:housenumber,187882,0.187882,2,True
MM,2022,building,name,26803,0.026803,3,True
MM,2022,building,amenity,134237,0.134237,4,False
MM,2022,building,shop,69329,0.069329,5,False
MM,2022,building,height,45994,0.045994,6,False
MM,2022,highway,building,461184,0.461184,1,True
MM,2022,highway,addr:housenumber,117157,0.117157,2,True
MM,2022,highway,name,265307,0.265307,3,True
MM,2022,highway,amenity,62245,0.062245,4,False
MM,2022,highway,shop,32004,0.032004,5,False
MM,2022,highway,height,21686,0.021686,6,False
MM,2023,building,building,207811,0.207811,1,True
MM,2023,building,addr:housenumber,260147,0.260147,2,True
MM,2023,building,name,81833,0.081833,3,True
MM,2023,building,amenity,62596,0.062596,4,False
MM,2023,building,shop,100570,0.10057,5,False
MM,2023,building,height,128318,0.128318,6,False
MM,2023,highway,building,219995,0.219995,1,True
MM,2023,highway,addr:housenumber,141135,0.141135,2,True
MM,2023,highway,name,60092,0.060092,3,True
MM,2023,highway,amenity,73134,0.073134,4,False
MM,2023,highway,shop,168217,0.168217,5,False
MM,2023,highway,height,17517,0.017517,6,False
MM,2024,building,building,535768,0.535768,1,True
MM,2024,building,addr:housenumber,293268,0.293268,2,True
MM,2024,building,name,249929,0.249929,3,True
MM,2024,building,amenity,27000,0.027,4,False
MM,2024,building,shop,110401,0.110401,5,False
MM,2024,building,height,124804,0.124804,6,False
MM,2024,highway,building,894723,0.894723,1,True
MM,2024,highway,addr:housenumber,82725,0.082725,2,True
MM,2024,highway,name,68051,0.068051,3,True
MM,2024,highway,amenity,40041,0.040041,4,False
MM,2024,highway,shop,52235,0.052235,5,False
MM,2024,highway,height,91177,0.091177,6,False
MM,2025,building,building,498545,0.498545,1,True
MM,2025,building,addr:housenumber,79890,0.07989,2,True
MM,2025,building,name,266339,0.266339,3,True
MM,2025,building,amenity,15891,0.015891,4,False
MM,2025,building,shop,167186,0.167186,5,False
MM,2025,building,height,71900,0.0719,6,False
MM,2025,highway,building,856705,0.856705,1,True
MM,2025,highway,addr:housenumber,379335,0.379335,2,True
MM,2025,highway,name,214871,0.214871,3,True
MM,2025,highway,amenity,18391,0.018391,4,False
MM,2025,highway,shop,12290,0.01229,5,False
MM,2025,highway,height,109477,0.109477,6,False
